epoch,train_loss,train_oa,val_loss,val_oa,val_macc,lr,epoch_time_s
187,1.652712,0.834553,1.661507,0.817261,0.749529,0.00002028,1125.7
188,1.645719,0.838110,1.662476,0.817261,0.762663,0.00001877,1115.0
189,1.658182,0.831402,1.653741,0.819287,0.755988,0.00001737,1120.9
190,1.646009,0.838313,1.648779,0.824554,0.759523,0.00001609,1114.9
191,1.649463,0.836890,1.657983,0.830227,0.776105,0.00001494,1110.0
192,1.653041,0.833638,1.664015,0.825770,0.764523,0.00001390,1118.4
193,1.651225,0.834959,1.655632,0.822528,0.760814,0.00001299,1116.7
194,1.663464,0.829065,1.658034,0.822528,0.764907,0.00001220,1131.3
195,1.659026,0.832622,1.659523,0.821718,0.758110,0.00001153,1114.8
196,1.655357,0.834654,1.652901,0.821718,0.756366,0.00001098,1120.6
197,1.650793,0.835264,1.648274,0.820908,0.765366,0.00001055,1113.2
198,1.650473,0.832724,1.652678,0.823339,0.765366,0.00001024,1130.3
199,1.651154,0.834146,1.664943,0.820908,0.753151,0.00001006,1110.0
200,1.652753,0.834248,1.654634,0.824554,0.753233,0.00001000,1122.1
